Source,Source_label,Target,Target_label,Trade.Flow,Weight,Year
124,Canada,842,USA,Export,3120000,2015
484,Mexico,842,USA,Export,3090000,2015
344,"China, Hong Kong SAR",156,China,Export,2830000,2015
842,USA,124,Canada,Export,2800000,2015
842,USA,484,Mexico,Export,2360000,2015
276,Germany,842,USA,Export,1270000,2015
392,Japan,842,USA,Export,1260000,2015
842,USA,156,China,Export,1160000,2015
276,Germany,251,France,Export,1140000,2015
392,Japan,156,China,Export,1090000,2015
276,Germany,826,United Kingdom,Export,990169,2015
276,Germany,528,Netherlands,Export,881874,2015
251,France,276,Germany,Export,795736,2015
276,Germany,156,China,Export,793481,2015
826,United Kingdom,842,USA,Export,693254,2015
276,Germany,381,Italy,Export,644389,2015
276,Germany,40,Austria,Export,643189,2015
842,USA,392,Japan,Export,624704,2015
36,Australia,156,China,Export,610125,2015
276,Germany,616,Poland,Export,577870,2015
381,Italy,276,Germany,Export,565562,2015
842,USA,826,United Kingdom,Export,563417,2015
276,Germany,757,Switzerland,Export,561132,2015
616,Poland,276,Germany,Export,522615,2015
203,Czech Rep.,276,Germany,Export,505881,2015
842,USA,276,Germany,Export,496172,2015
251,France,842,USA,Export,479593,2015
381,Italy,251,France,Export,471630,2015
826,United Kingdom,276,Germany,Export,464390,2015
276,Germany,56,Belgium,Export,458779,2015
392,Japan,410,Rep. of Korea,Export,440535,2015
842,USA,410,Rep. of Korea,Export,434980,2015
344,"China, Hong Kong SAR",842,USA,Export,430776,2015
276,Germany,724,Spain,Export,430121,2015
724,Spain,251,France,Export,429978,2015
757,Switzerland,276,Germany,Export,414537,2015
842,USA,528,Netherlands,Export,406947,2015
276,Germany,203,Czech Rep.,Export,404547,2015
381,Italy,842,USA,Export,398950,2015
842,USA,344,"China, Hong Kong SAR",Export,371339,2015
392,Japan,490,"Other Asia, nes",Export,369632,2015
251,France,724,Spain,Export,363715,2015
251,France,826,United Kingdom,Export,355915,2015
251,France,381,Italy,Export,354226,2015
392,Japan,344,"China, Hong Kong SAR",Export,350113,2015
842,USA,56,Belgium,Export,341039,2015
826,United Kingdom,757,Switzerland,Export,340225,2015
251,France,56,Belgium,Export,336959,2015
842,USA,76,Brazil,Export,316657,2015
842,USA,251,France,Export,314545,2015
757,Switzerland,842,USA,Export,308053,2015
724,Spain,276,Germany,Export,300773,2015
36,Australia,392,Japan,Export,298270,2015
372,Ireland,842,USA,Export,290959,2015
842,USA,702,Singapore,Export,286187,2015
392,Japan,764,Thailand,Export,279905,2015
458,Malaysia,702,Singapore,Export,278430,2015
826,United Kingdom,156,China,Export,276236,2015
