ID,Label,Continent,Region
4,Afghanistan,Asia,Asia
8,Albania,Europe,Europe
12,Algeria,Africa,Africa
16,American Samoa,Oceania,Oceania
20,Andorra,Europe,Europe
24,Angola,Africa,Africa
660,Anguilla,Americas,North America
10,Antarctica,Antarctica,Antarctica
28,Antigua and Barbuda,Americas,North America
899,"Areas, nes",0,0
32,Argentina,Americas,South America
51,Armenia,Asia,Asia
533,Aruba,Americas,North America
36,Australia,Oceania,Oceania
40,Austria,Europe,Europe
31,Azerbaijan,Asia,Asia
44,Bahamas,Americas,North America
48,Bahrain,Asia,Asia
50,Bangladesh,Asia,Asia
52,Barbados,Americas,North America
112,Belarus,Europe,Europe
56,Belgium,Europe,Europe
84,Belize,Americas,North America
204,Benin,Africa,Africa
60,Bermuda,Americas,North America
64,Bhutan,Asia,Asia
68,Bolivia (Plurinational State of),Americas,South America
535,Bonaire,Americas,North America
70,Bosnia Herzegovina,Europe,Europe
72,Botswana,Africa,Africa
74,Bouvet Island,Africa,Africa
86,Br. Indian Ocean Terr.,Oceania,Oceania
92,Br. Virgin Isds,Americas,North America
76,Brazil,Americas,South America
96,Brunei Darussalam,Asia,Asia
100,Bulgaria,Europe,Europe
837,Bunkers,0,0
854,Burkina Faso,Africa,Africa
108,Burundi,Africa,Africa
384,Cê_te d'Ivoire,Africa,Africa
132,Cabo Verde,Africa,Africa
116,Cambodia,Asia,Asia
120,Cameroon,Africa,Africa
124,Canada,Americas,North America
136,Cayman Isds,Americas,North America
140,Central African Rep.,Africa,Africa
148,Chad,Africa,Africa
152,Chile,Americas,South America
156,China,Asia,Asia
344,"China, Hong Kong SAR",Asia,Asia
446,"China, Macao SAR",Asia,Asia
162,Christmas Isds,Oceania,Oceania
166,Cocos Isds,Americas,North America
170,Colombia,Americas,South America
174,Comoros,Africa,Africa
178,Congo,Africa,Africa
184,Cook Isds,Oceania,Oceania
188,Costa Rica,Americas,North America
191,Croatia,Europe,Europe
192,Cuba,Americas,North America
531,Curaê_ao,Americas,North America
196,Cyprus,Asia,Asia
203,Czech Rep.,Europe,Europe
408,Dem. People's Rep. of Korea,Asia,Asia
180,Dem. Rep. of the Congo,Africa,Africa
208,Denmark,Europe,Europe
262,Djibouti,Africa,Africa
212,Dominica,Americas,North America
214,Dominican Rep.,Africa,Africa
218,Ecuador,Americas,South America
818,Egypt,Africa,Africa
222,El Salvador,Americas,North America
226,Equatorial Guinea,Africa,Africa
232,Eritrea,Africa,Africa
233,Estonia,Europe,Europe
231,Ethiopia,Africa,Africa
234,Faeroe Isds,Americas,North America
238,Falkland Isds (Malvinas),Americas,South America
242,Fiji,Oceania,Oceania
246,Finland,Europe,Europe
260,Fr. South Antarctic Terr.,Americas,South America
251,France,Europe,Europe
838,Free Zones,0,0
258,French Polynesia,Americas,South America
583,FS Micronesia,Oceania,Oceania
266,Gabon,Africa,Africa
270,Gambia,Africa,Africa
268,Georgia,Asia,Asia
276,Germany,Europe,Europe
288,Ghana,Africa,Africa
292,Gibraltar,Europe,Europe
300,Greece,Europe,Europe
304,Greenland,Americas,North America
308,Grenada,Americas,North America
316,Guam,Asia,Asia
320,Guatemala,Americas,North America
324,Guinea,Africa,Africa
624,Guinea-Bissau,Africa,Africa
328,Guyana,Americas,South America
332,Haiti,Americas,North America
334,Heard Island and McDonald Islands,Oceania,Oceania
336,Holy See (Vatican City State),Europe,Europe
340,Honduras,Americas,North America
348,Hungary,Europe,Europe
352,Iceland,Europe,Europe
699,India,Asia,Asia
360,Indonesia,Asia,Asia
364,Iran,Asia,Asia
368,Iraq,Asia,Asia
372,Ireland,Europe,Europe
376,Israel,Asia,Asia
381,Italy,Europe,Europe
388,Jamaica,Americas,North America
392,Japan,Asia,Asia
400,Jordan,Asia,Asia
398,Kazakhstan,Asia,Asia
404,Kenya,Africa,Africa
296,Kiribati,Oceania,Oceania
414,Kuwait,Asia,Asia
417,Kyrgyzstan,Asia,Asia
473,"LAIA, nes",0,0
418,Lao People's Dem. Rep.,Asia,Asia
428,Latvia,Europe,Europe
422,Lebanon,Asia,Asia
426,Lesotho,Africa,Africa
430,Liberia,Africa,Africa
434,Libya,Africa,Africa
440,Lithuania,Europe,Europe
442,Luxembourg,Europe,Europe
450,Madagascar,Africa,Africa
454,Malawi,Africa,Africa
458,Malaysia,Asia,Asia
462,Maldives,Asia,Seven seas (open ocean)
466,Mali,Africa,Africa
470,Malta,Europe,Europe
584,Marshall Isds,Oceania,Oceania
478,Mauritania,Africa,Africa
480,Mauritius,Africa,Seven seas (open ocean)
175,Mayotte,Africa,Africa
484,Mexico,Americas,North America
496,Mongolia,Asia,Asia
499,Montenegro,Europe,Europe
500,Montserrat,Americas,North America
504,Morocco,Africa,Africa
508,Mozambique,Africa,Africa
104,Myanmar,Asia,Asia
580,N. Mariana Isds,Asia,Asia
516,Namibia,Africa,Africa
520,Nauru,Oceania,Oceania
524,Nepal,Asia,Asia
528,Netherlands,Europe,Europe
540,New Caledonia,Oceania,Oceania
554,New Zealand,Oceania,Oceania
558,Nicaragua,Americas,North America
562,Niger,Africa,Africa
566,Nigeria,Africa,Africa
570,Niue,Oceania,Oceania
574,Norfolk Isds,Oceania,Oceania
637,"North America and Central America, nes",Americas,North America
579,Norway,Europe,Europe
527,"Oceania, nes",Oceania,Oceania
512,Oman,Asia,Asia
577,"Other Africa, nes",Africa,Africa
490,"Other Asia, nes",Asia,Asia
568,"Other Europe, nes",Europe,Europe
586,Pakistan,Asia,Asia
585,Palau,Oceania,Oceania
591,Panama,Americas,North America
598,Papua New Guinea,Oceania,Oceania
600,Paraguay,Americas,South America
604,Peru,Americas,South America
608,Philippines,Asia,Asia
612,Pitcairn,Oceania,Oceania
616,Poland,Europe,Europe
620,Portugal,Europe,Europe
634,Qatar,Asia,Asia
410,Rep. of Korea,Asia,Asia
498,Rep. of Moldova,Europe,Europe
642,Romania,Europe,Europe
643,Russian Federation,Europe,Europe
646,Rwanda,Africa,Africa
652,Saint Barthelemy,Americas,North America
654,Saint Helena,Americas,North America
659,Saint Kitts and Nevis,Americas,North America
662,Saint Lucia,Americas,North America
534,Saint Maarten,Americas,North America
666,Saint Pierre and Miquelon,Americas,North America
670,Saint Vincent and the Grenadines,Americas,North America
882,Samoa,Oceania,Oceania
674,San Marino,Europe,Europe
678,Sao Tome and Principe,Africa,Africa
682,Saudi Arabia,Asia,Asia
686,Senegal,Africa,Africa
688,Serbia,Europe,Europe
690,Seychelles,Africa,Seven seas (open ocean)
694,Sierra Leone,Africa,Africa
702,Singapore,Asia,Asia
703,Slovakia,Europe,Europe
705,Slovenia,Europe,Europe
90,Solomon Isds,Oceania,Oceania
706,Somalia,Africa,Africa
710,South Africa,Africa,Africa
239,South Georgia and the South Sandwich Islands,Asia,Asia
728,South Sudan,Africa,Africa
724,Spain,Europe,Europe
839,Special Categories,0,0
144,Sri Lanka,Asia,Asia
275,State of Palestine,Asia,Asia
729,Sudan,Africa,Africa
740,Suriname,Americas,South America
748,Swaziland,Africa,Africa
752,Sweden,Europe,Europe
757,Switzerland,Europe,Europe
760,Syria,Asia,Asia
762,Tajikistan,Asia,Asia
807,TFYR of Macedonia,Europe,Europe
764,Thailand,Asia,Asia
626,Timor-Leste,Oceania,Oceania
768,Togo,Africa,Africa
772,Tokelau,Oceania,Oceania
776,Tonga,Oceania,Oceania
780,Trinidad and Tobago,Americas,North America
788,Tunisia,Africa,Africa
792,Turkey,Asia,Asia
795,Turkmenistan,Asia,Asia
796,Turks and Caicos Isds,Americas,North America
798,Tuvalu,Oceania,Oceania
800,Uganda,Africa,Africa
804,Ukraine,Europe,Europe
784,United Arab Emirates,Asia,Asia
826,United Kingdom,Europe,Europe
834,United Rep. of Tanzania,Africa,Africa
581,United States Minor Outlying Islands,Americas,North America
858,Uruguay,Americas,South America
842,USA,Americas,North America
860,Uzbekistan,Asia,Asia
548,Vanuatu,Oceania,Oceania
862,Venezuela,Americas,South America
704,Viet Nam,Asia,Asia
876,Wallis and Futuna Isds,Oceania,Oceania
732,Western Sahara,Africa,Africa
887,Yemen,Asia,Asia
894,Zambia,Africa,Africa
716,Zimbabwe,Africa,Africa
