ID,Label,Continent,Region,latitude,longitude
4,Afghanistan,Asia,Asia,33.93911,67.709953
8,Albania,Europe,Europe,41.153332,20.168331
12,Algeria,Africa,Africa,28.033886,1.659626
16,American Samoa,Oceania,Oceania,-14.270972,-170.132217
20,Andorra,Europe,Europe,12.226079,-69.060087
24,Angola,Africa,Africa,17.060816,-61.796428
660,Anguilla,Americas,North America,18.220554,-63.068615
10,Antarctica,Antarctica,Antarctica,-75.250973,-0.071389
28,Antigua and Barbuda,Americas,North America,47.516231,14.550072
899,"Areas, nes",0,0,0,0
32,Argentina,Americas,South America,-38.416097,-63.616672
51,Armenia,Asia,Asia,-38.416097,-63.616672
533,Aruba,Americas,North America,12.52111,-69.968338
36,Australia,Oceania,Oceania,-25.274398,133.775136
40,Austria,Europe,Europe,-25.274398,133.775136
31,Azerbaijan,Asia,Asia,40.143105,47.576927
44,Bahamas,Americas,North America,25.930414,50.637772
48,Bahrain,Asia,Asia,25.930414,50.637772
50,Bangladesh,Asia,Asia,42.733883,25.48583
52,Barbados,Americas,North America,-14.235004,-51.92528
112,Belarus,Europe,Europe,53.709807,27.953389
56,Belgium,Europe,Europe,50.503887,4.469936
84,Belize,Americas,North America,17.189877,-88.49765
204,Benin,Africa,Africa,50.503887,4.469936
60,Bermuda,Americas,North America,32.321384,-64.75737
64,Bhutan,Asia,Asia,27.514162,90.433601
68,Bolivia (Plurinational State of),Americas,South America,-16.290154,-63.588653
535,Bonaire,Americas,North America,12.15,-68.26667
70,Bosnia Herzegovina,Europe,Europe,-3.373056,29.918886
72,Botswana,Africa,Africa,-22.328474,24.684866
74,Bouvet Island,Africa,Africa,-54.423199,3.413194
86,Br. Indian Ocean Terr.,Oceania,Oceania,-6.343194,71.876519
92,Br. Virgin Isds,Americas,North America,18.420695,-64.639968
76,Brazil,Americas,South America,-14.235004,-51.92528
96,Brunei Darussalam,Asia,Asia,-14.235004,-51.92528
100,Bulgaria,Europe,Europe,42.733883,25.48583
837,Bunkers,0,0,0,0
854,Burkina Faso,Africa,Africa,12.238333,-1.561593
108,Burundi,Africa,Africa,23.684994,90.356331
384,Cê_te d'Ivoire,Africa,Africa,7.539989,-5.54708
132,Cabo Verde,Africa,Africa,16.002082,-24.013197
116,Cambodia,Asia,Asia,12.565679,104.990963
120,Cameroon,Africa,Africa,7.369722,12.354722
124,Canada,Americas,North America,56.130366,-106.346771
136,Cayman Isds,Americas,North America,35.126413,33.429859
140,Central African Rep.,Africa,Africa,56.130366,-106.346771
148,Chad,Africa,Africa,21.694025,-71.797928
152,Chile,Americas,South America,46.818188,8.227512
156,China,Asia,Asia,46.818188,8.227512
344,"China, Hong Kong SAR",Asia,Asia,22.396428,114.109497
446,"China, Macao SAR",Asia,Asia,31.791702,-7.09262
